COUNTRY,COUNTRY_CODE,GHE_CAUSE_TITLE,YEAR,DEATHS_100K
Australia,AUS,Hookworm disease,2005,0
Australia,AUS,Hookworm disease,2010,0
Australia,AUS,Hookworm disease,2015,0
Australia,AUS,Hookworm disease,2019,0
Australia,AUS,Hypertensive heart disease,2000,4.621977345
Australia,AUS,Hypertensive heart disease,2005,5.376957127
Australia,AUS,Hypertensive heart disease,2010,5.560717789
Australia,AUS,Hypertensive heart disease,2015,7.369141693
Australia,AUS,Hypertensive heart disease,2019,6.468519569
Australia,AUS,Idiopathic intellectual disability,2000,0.041446586
Australia,AUS,Idiopathic intellectual disability,2005,0.039304706
Australia,AUS,Idiopathic intellectual disability,2010,0.064136329
Australia,AUS,Idiopathic intellectual disability,2015,0.067068909
Australia,AUS,Idiopathic intellectual disability,2019,0.064393414
Australia,AUS,Infertility,2000,0
Australia,AUS,Infertility,2005,0
Australia,AUS,Infertility,2010,0
Australia,AUS,Infertility,2015,0
Australia,AUS,Infertility,2019,0
Australia,AUS,Inflammatory bowel disease,2000,0.650002196
Australia,AUS,Inflammatory bowel disease,2005,0.892275146
Australia,AUS,Inflammatory bowel disease,2010,0.970282491
Australia,AUS,Inflammatory bowel disease,2015,0.330243507
Australia,AUS,Inflammatory bowel disease,2019,0.326749496
Australia,AUS,Interpersonal violence,2000,1.647710721
Australia,AUS,Interpersonal violence,2005,1.26517138
Australia,AUS,Interpersonal violence,2010,1.204229367
Australia,AUS,Interpersonal violence,2015,1.134059126
Australia,AUS,Interpersonal violence,2019,0.964907444
Australia,AUS,Iodine deficiency,2000,0
Australia,AUS,Iodine deficiency,2005,0.001169678
Australia,AUS,Iodine deficiency,2010,0
Australia,AUS,Iodine deficiency,2015,0
Australia,AUS,Iodine deficiency,2019,0
Australia,AUS,Iron-deficiency anaemia,2000,0.485509962
Australia,AUS,Iron-deficiency anaemia,2005,0.507030275
Australia,AUS,Iron-deficiency anaemia,2010,0.46584706
Australia,AUS,Iron-deficiency anaemia,2015,0.662231541
Australia,AUS,Iron-deficiency anaemia,2019,0.622384523
Australia,AUS,Ischaemic heart disease,2000,152.0404677
Australia,AUS,Ischaemic heart disease,2005,133.1681834
Australia,AUS,Ischaemic heart disease,2010,111.2851841
Australia,AUS,Ischaemic heart disease,2015,97.98588795
Australia,AUS,Ischaemic heart disease,2019,85.4990026
Australia,AUS,Kidney cancer,2000,4.632439678
Australia,AUS,Kidney cancer,2005,4.858321272
Australia,AUS,Kidney cancer,2010,4.868878328
Australia,AUS,Kidney cancer,2015,4.661235339
Australia,AUS,Kidney cancer,2019,4.3322205
Australia,AUS,Kidney diseases,2000,10.9722876
Australia,AUS,Kidney diseases,2005,12.75927631
Australia,AUS,Kidney diseases,2010,13.57335791
Australia,AUS,Kidney diseases,2015,12.81605258
Australia,AUS,Kidney diseases,2019,12.45440702
Australia,AUS,Larynx cancer,2000,1.352197886
Australia,AUS,Larynx cancer,2005,1.218667572
Australia,AUS,Larynx cancer,2010,1.265415165
Australia,AUS,Larynx cancer,2015,1.025567451
Australia,AUS,Larynx cancer,2019,0.861841115
Australia,AUS,Leishmaniasis,2000,0
Australia,AUS,Leishmaniasis,2005,0
Australia,AUS,Leishmaniasis,2010,0
Australia,AUS,Leishmaniasis,2015,0
Australia,AUS,Leishmaniasis,2019,0
Australia,AUS,Leprosy,2000,0
Australia,AUS,Leprosy,2005,0.000438495
Australia,AUS,Leprosy,2010,0.004519712
Australia,AUS,Leprosy,2015,0
Australia,AUS,Leprosy,2019,0
Australia,AUS,Leukaemia,2000,7.726789236
Australia,AUS,Leukaemia,2005,7.910530052
Australia,AUS,Leukaemia,2010,8.19636843
Australia,AUS,Leukaemia,2015,8.324335139
Australia,AUS,Leukaemia,2019,8.438032623
Australia,AUS,Liver cancer,2000,3.85766712
Australia,AUS,Liver cancer,2005,4.909176069
Australia,AUS,Liver cancer,2010,6.007290042
Australia,AUS,Liver cancer,2015,7.695868881
Australia,AUS,Liver cancer,2019,8.076105927
Australia,AUS,Lower respiratory infections,2000,15.35676541
Australia,AUS,Lower respiratory infections,2005,13.32170221
Australia,AUS,Lower respiratory infections,2010,11.16758802
Australia,AUS,Lower respiratory infections,2015,14.68447709
Australia,AUS,Lower respiratory infections,2019,17.64538892
Australia,AUS,Lymphatic filariasis,2000,0
Australia,AUS,Lymphatic filariasis,2005,0
Australia,AUS,Lymphatic filariasis,2010,0
Australia,AUS,Lymphatic filariasis,2015,0
Australia,AUS,Lymphatic filariasis,2019,0
Australia,AUS,"Lymphomas, multiple myeloma",2000,13.60358582
Australia,AUS,"Lymphomas, multiple myeloma",2005,12.66651865
Australia,AUS,"Lymphomas, multiple myeloma",2010,11.50590618
Australia,AUS,"Lymphomas, multiple myeloma",2015,12.20174475
Australia,AUS,"Lymphomas, multiple myeloma",2019,12.04928371
Australia,AUS,Macular degeneration,2000,0
Australia,AUS,Macular degeneration,2005,0
Australia,AUS,Macular degeneration,2010,0
Australia,AUS,Macular degeneration,2015,0
Australia,AUS,Macular degeneration,2019,0
Australia,AUS,Malaria,2000,0
Australia,AUS,Malaria,2005,0
Australia,AUS,Malaria,2010,0
Australia,AUS,Malaria,2015,0
Australia,AUS,Malaria,2019,0
Australia,AUS,Maternal conditions,2000,0.086147081
Australia,AUS,Maternal conditions,2005,0.067710141
Australia,AUS,Maternal conditions,2010,0.074604552
Australia,AUS,Maternal conditions,2015,0.087806464
Australia,AUS,Maternal conditions,2019,0.079477646
Australia,AUS,Measles,2000,0
Australia,AUS,Measles,2005,0
Australia,AUS,Measles,2010,0.005832653
Australia,AUS,Measles,2015,0
Australia,AUS,Measles,2019,0
Australia,AUS,Melanoma and other skin cancers,2000,7.538875985
Australia,AUS,Melanoma and other skin cancers,2005,8.908924832
Australia,AUS,Melanoma and other skin cancers,2010,9.43351898
Australia,AUS,Melanoma and other skin cancers,2015,10.04887175
Australia,AUS,Melanoma and other skin cancers,2019,9.201249072
Australia,AUS,Meningitis,2000,0.357236799
Australia,AUS,Meningitis,2005,0.252501655
Australia,AUS,Meningitis,2010,0.183073469
Australia,AUS,Meningitis,2015,0.140971689
Australia,AUS,Meningitis,2019,0.146782885
Australia,AUS,Mesothelioma,2000,2.463471073
Australia,AUS,Mesothelioma,2005,2.920015102
Australia,AUS,Mesothelioma,2010,3.19288843
Australia,AUS,Mesothelioma,2015,3.127636788
Australia,AUS,Mesothelioma,2019,3.166514851
Australia,AUS,Migraine,2000,0.004736262
Australia,AUS,Migraine,2005,0.001169678
Australia,AUS,Migraine,2010,0.003362796
Australia,AUS,Migraine,2015,0
Australia,AUS,Migraine,2019,0
Australia,AUS,Mouth and oropharynx cancers,2000,3.806088013
Australia,AUS,Mouth and oropharynx cancers,2005,3.5991744
Australia,AUS,Mouth and oropharynx cancers,2010,3.781098117
